名称,営業日,住所,アクセス
コテ・フー,"月、火、金～日、祝日、祝前日: 18:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都渋谷区鶯谷町8－10代官山トゥエルブ2　1F,渋谷駅徒歩7分
"南国亭 渋谷駅前店","月～日、祝日、祝前日: 11:00～15:0017:00～23:00",東京都渋谷区渋谷３-6-16,渋谷駅徒歩3分。渋谷駅東口より渋谷警察署方面へ歩道橋で渡り警察署を背に直進しＱＢハウス前右折、突きあたりを左折
"PANCHOS 渋谷","月～木、祝前日: 17:00～翌0:30金、土: 17:00～翌1:00日、祝日: 17:00～翌0:00","東京都渋谷区道玄坂２－１０－１２ 新大宗ビル３号館 １F","地下鉄半蔵門線 渋谷駅 1番出口 徒歩2分/東急田園都市線 渋谷駅 1番出口 徒歩2分"
"Darts UP ダーツ アップ 渋谷駅前店","月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）",東京都渋谷区道玄坂１-3-1渋谷駅前会館(飯島ビル)B2F,渋谷駅より徒歩約2分
ピノサリーチェ,"火、水、金、土: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都渋谷区鶯谷町１５-１０　ロイヤルパレス１０２,渋谷駅南口より徒歩約7分
"南国亭 渋谷一号店","月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","東京都渋谷区東１-26-20 東京建物B1",渋谷駅新南口から徒歩5分
"ディプント Di PUNTO 渋谷駅前店","月～日、祝日、祝前日: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）",東京都渋谷区渋谷１－２４－１６　みずほ銀行遠州屋共同ビルB１F,渋谷駅前　徒歩1分
"鮮や一夜 渋谷駅前店","月～日、祝日、祝前日: 17:00～23:30",東京都渋谷区渋谷１-24-12　渋谷東映プラザ6F,"JR渋谷駅より徒歩1分　渋谷での各種宴会には交通アクセス抜群の駅チカ個室居酒屋 鮮や一夜を是非ご利用ください◎"
鮨あい澤,"火～日、祝日、祝前日: 18:00～22:30 （料理L.O. 22:30 ドリンクL.O. 22:30）","東京都渋谷区宇田川町42-15-1 F",JR渋谷駅ハチ公口徒歩9分／京王井の頭線渋谷駅　徒歩7分／神泉駅から670m／神泉駅から662m
しぶ谷やました,"月～土、祝日、祝前日: 11:30～14:0017:00～23:00",東京都渋谷区道玄坂２-２９-１８　清水ビル６F,"JR渋谷駅から徒歩5分、東京メトロ渋谷駅3a出口 徒歩1分"
ロケット商会,"月～日、祝日、祝前日: 12:00～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～翌2:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:00）",東京都渋谷区渋谷２-10-2,渋谷駅から徒歩8分/表参道駅から徒歩10分渋谷駅B4出口→宮益坂を表参道方面へ直進→青山通りの歩道橋を渡ったらスグ♪
"アウトバックステーキハウス 渋谷店","月～金、祝前日: 17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）土、日、祝日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）",東京都渋谷区宇田川町３４－１,JR・東急・京王・東京メトロ　渋谷駅・ハチ公口から徒歩5分
"しゃぶ葉 渋谷駅前店","月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）",東京都渋谷区道玄坂２-３－１渋谷駅前ビル　９Ｆ,渋谷駅
"DRESS GRAPE ドレスグレープ","火～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）",東京都渋谷区桜丘町14－10澁谷コープ１F,ＪＲ，東京メトロ銀座線渋谷駅西口より徒歩約5分/東京メトロ，東急渋谷駅Ｂ６出口より徒歩約7分
"カオサン 渋谷宮益坂","月～金、祝日、祝前日: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）",東京都渋谷区渋谷１-8-5　小山ビル2F,渋谷駅12出口から徒歩約4分／渋谷駅宮益坂口出口から徒歩約5分／渋谷駅東口出口から徒歩約6分
"ジンナンカフェ 渋谷","月～金、祝前日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","東京都渋谷区神南１-17-5 クーラビル1F・B1F",東京メトロ，東急渋谷駅Ｂ１出口より徒歩約6分
"長崎飯店 渋谷店","月～金、祝前日: 11:00～14:3017:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土: 11:00～14:30",東京都渋谷区道玄坂２‐１０‐１２新大宗ビル３号館,JR渋谷駅徒歩3分／京王井の頭線渋谷駅西口徒歩2分／東急東横線渋谷駅徒歩4分／地下鉄半蔵門線渋谷駅徒歩4分
"FLORA BOX フローラボックス 85","火～土、祝日、祝前日: 12:00～21:00",東京都渋谷区渋谷１－２４－５　ドクターズビルＢ１Ｆ,"渋谷駅徒歩2分/ヒカリエから徒歩2分 宮益坂口からビックカメラ方面へ。宮下公園へ向かう道にあるファミリーマートの隣"
"バーボンストリート 渋谷","月～土、祝前日: 12:00～翌3:30 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,"ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分"
"渋谷松川 渋谷駅ハチ公前本店","月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30）",東京都渋谷区宇田川町２２－１,渋谷駅ハチ公口徒歩1分
"バーボンストリート 渋谷","月～土、祝前日: 12:00～翌3:30 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,"ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分"
"神戸焼肉 かんてき 渋谷","月～金: 18:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）土、祝前日: 17:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日、祝日: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）",東京都渋谷区道玄坂２-7-6,渋谷駅から徒歩1分／マークシティすぐ。
"ラウンジ ノイズ Lounge Noiz","月: 19:00～翌5:00 （料理L.O. 23:00 ドリンクL.O. 翌4:30）火～日、祝日、祝前日: 19:00～翌5:00 （料理L.O. 翌2:00 ドリンクL.O. 翌4:30）","東京都渋谷区道玄坂２－２９－１８ 才藤第二ビル6F",【渋谷駅ハチ公口から徒歩3分】109とアディダスショップの通りから東急を目指して直進→LABIの先にある才藤第二ビルの6F
"ミラン ナタラジ 渋谷店","月～日、祝日、祝前日: 11:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）","東京都渋谷区神南１-22-7 岩本ビル3F","各線「渋谷駅」ハチ公口から徒歩3分。公園通り(西武と109MEN’S間)、マルイ隣のビル3F。  B1F「一欄」が目印。"
"渋谷貸切パーティー SuNaBa スナバ","月～日、祝日、祝前日: 12:00～翌0:00","東京都渋谷区道玄坂１-3-11 一番ビルB2",渋谷駅１分/マークシティー隣、雨の日も大丈夫・広場あり　30名より貸切可能/アクリル板仕切り/CO2測定器/大型換気扇
"おいどん 渋谷店","月～木、祝前日: 17:00～翌0:00金: 17:00～翌4:00土: 16:00～翌0:00祝日: 16:00～23:00","東京都渋谷区宇田川町26-2 サンルイビル5F",各線「渋谷」駅2分！109向いのサーティワンアイスクリームさんのビル5F
酒呑気まるこ,"月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:30）","東京都渋谷区道玄坂１-18-4 102",◆京王井の頭線アベニュー口渋谷駅徒歩２分◆東京メトロ、東急田園都市線渋谷駅徒歩６分◆JR渋谷駅徒歩7分
"カルニセリア CARNICERIA","月～金、祝前日: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）土、日、祝日: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）","東京都渋谷区宇田川町15-1 PARCO B1F",渋谷駅から徒歩10分/渋谷PARCOのB1Fにございます。
"フリーマンカフェ 渋谷メトロプラザ","月～日、祝日、祝前日: 10:00～23:00 （料理L.O. 21:45 ドリンクL.O. 22:00）","東京都渋谷区渋谷１-16-14 メトロプラザ2F",東京メトロ，東急渋谷駅Ｂ１出口より徒歩約0分
"大衆スタンド神田屋 渋谷センター店","月～金、祝前日: 11:30～23:00土、日、祝日: 12:00～23:00",東京都渋谷区宇田川町２５－３プリンスビルB１F,渋谷駅より徒歩5分/神泉駅より徒歩10分/明治神宮前駅より徒歩16分　※駅近なので、宴会の集合にも最適の立地です♪
"おふろの王様 高座渋谷駅前店","月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30）","神奈川県大和市渋谷５-22 IKOZA5F","小田急江ノ島線高座渋谷駅より徒歩１分 お車でもOK（駐車場完備)"
"牛繁 ぎゅうしげ 渋谷センター街店","月～土、祝前日: 17:00～翌0:00 （料理L.O. 23:15 ドリンクL.O. 23:15）日、祝日: 17:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:15）",東京都渋谷区宇田川町２２－１　鈴一ビル２・３階,ＪＲ渋谷駅徒歩3分・スクランブルを渡ったらスグ
RODEO&Cafe,"月～日、祝日、祝前日: 11:00～翌0:00","東京都渋谷区宇田川町35-1 1F",渋谷駅より547m　各路線徒歩8分
SPOT,"月～土、祝日、祝前日: 18:00～翌9:00日: 18:00～翌2:00","東京都渋谷区道玄坂１‐6－10　早川ビルB1 ",井の頭線渋谷駅西口より徒歩10秒JR線・東急線・東京メトロ渋谷駅より徒歩2分
"Party Space パーティースペース VERDE 渋谷","月～木: 11:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金～日、祝日、祝前日: 11:00～翌2:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:00）",東京都渋谷区渋谷３-１８-５　佐藤エステートビル新館４階,"各線渋谷駅東口 徒歩5分/新南口から徒歩3分/渋谷警察署の向かい側です。温かい光の穏やかな雰囲気をご堪能ください"
"山島屋 yamashimaya 渋谷店","月～日、祝日、祝前日: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）","東京都渋谷区宇田川町26-4 Lu82ビル　4F",渋谷駅ハチ公口から徒歩1分。文化村通りに入ってすぐのコンビニがあるビルの4階が当店です。駅前での待ち合わせも容易！
"傷ついたダンサーが集まる BAR KIZUKI バー キズキ","月～土、祝日、祝前日: 19:00～翌4:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）",東京都渋谷区渋谷１-8-5　グローリア10F,"渋谷駅徒歩5分Shibuya-ku, Tokyo渋谷区渋谷1-8-5 グローリア宮益坂10F"
"One Trick Pony ワントリックポニー","月～土、祝前日: 19:00～翌2:00",東京都渋谷区道玄坂１-11-1第二大番ビル502,渋谷マークシティすぐ近くにあるお店/京王井の頭線渋谷駅京王井の頭線西口より徒歩約1分/
"珈琲茶館 集 プレミアム渋谷駅前店","月～日、祝日、祝前日: 10:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）",東京都渋谷区道玄坂２－29－3　道玄坂共同ビル1・2F,渋谷駅ハチ公口　徒歩4分
"ガスト 渋谷駅前","月～日、祝日、祝前日: 07:30～23:00","東京都渋谷区道玄坂２‐3‐1 渋谷駅前ビル 7F","渋谷駅 徒歩1分"
"ジョイサウンド JOYSOUND 渋谷南口駅前店","月～日、祝日、祝前日: 11:00～翌5:00",東京都渋谷区道玄坂１-3-1　渋谷駅前会館9階,JR渋谷駅　ハチ公口から徒歩2分（マークシティ沿い、パチンコ屋のビル）
"焼肉 寿亭 渋谷店","月～土、祝前日: 11:00～翌4:30 （料理L.O. 翌4:00）日、祝日: 11:00～23:00 （料理L.O. 22:30）",東京都渋谷区道玄坂２－９－２　Ｂ1Ｆ,"京王井の頭線渋谷駅西口 徒歩1分／JR渋谷駅ハチ公口 徒歩2分／東急田園都市線渋谷駅 徒歩2分"
"LAUREL TOKYO ローレルトーキョー","月～日、祝日、祝前日: 12:00～翌5:00","東京都渋谷区道玄坂１-17-9 SK PLAZAビル B1F",渋谷駅東口徒歩5分／道玄坂の好立地！！貸切20名様～◎オープン席もご用意しております◎
"とうか 渋谷 駅前店","月～土、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都渋谷区道玄坂２-8-8　コスモ渋谷館１階,JR渋谷駅徒歩2分／マークシティーの井の頭線改札左手に30秒。道路から見えづらい為近くでお問い合わせください！
"鳥良 渋谷道玄坂1号店","月～木、日、祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金、土、祝前日: 17:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）",東京都渋谷区道玄坂２－２９－８　道玄坂センタービル６Ｆ,"JR渋谷駅ハチ公口 徒歩3分/半蔵門線1番出口出てすぐ右側の道玄坂センタービル6F"
"ミクロコスモス MICROCOSMOS 渋谷","月、水～日、祝日、祝前日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）",東京都渋谷区渋谷１-25-6渋谷パークサイド共同ビル8階,"JR山手線「渋谷」駅ハチ公口より　徒歩 1分"
"串バル 渋谷駅前店","月～木、日、祝日: 17:00～翌0:30 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金、土、祝前日: 17:00～翌4:30 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）",東京都渋谷区宇田川町２８－１－６Ｆ,JR渋谷駅徒歩3分　（渋谷　個室　居酒屋　バル　飲み放題　ワイン　日本酒　肉料理　）
"南国亭 渋谷公園通り店","月～日、祝日、祝前日: 11:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）",東京都渋谷区神南１丁目１０－６サクセス渋谷ビルＢ１Ｆ,渋谷駅ハチ公口より原宿方面へ線路沿いに進み、旧東京電力館向かい側ビル地下１階
